id,userid,relation,landmark,geometry_type,geometry
5f389e51b443d0000407f8ce,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,À DIREITA DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87955057621003, -7.224149749710022],[-35.879515707492835, -7.224213611715091],[-35.879263579845436, -7.224061939438309],[-35.87929844856263, -7.223979450985699],[-35.879553258419044, -7.224131123290164],[-35.87955057621003, -7.224149749710022]]]}"
5f389e75b443d0000407f8cf,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,À DIREITA DE,Maria Pitanga,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.87960422039033, -7.2241790197967966],[-35.879620313644416, -7.223918249865984],[-35.87966054677964, -7.22391558894754],[-35.87964981794358, -7.224176358879892],[-35.87960422039033, -7.2241790197967966]],[[-35.87963908910752, -7.22421095079839],[-35.87960690259934, -7.224261508212983],[-35.87977588176728, -7.224383910351184],[-35.87982416152955, -7.224333352950293],[-35.87963908910752, -7.22421095079839]]]]}"
5f389e85b443d0000407f8d0,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,À DIREITA DE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.86991339921952, -7.233686375826634],[-35.86985707283021, -7.233641141189266],[-35.86970686912537, -7.233808775410913],[-35.869795382022865, -7.233838044871806],[-35.86990803480149, -7.233702340991685],[-35.869916081428535, -7.233683714965733],[-35.86991339921952, -7.233686375826634]]]}"
5f389e8db443d0000407f8d1,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,À DIREITA DE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87011456489564, -7.234120095943113],[-35.87010383605958, -7.234175973964622],[-35.87034791707993, -7.234372877413863],[-35.87038010358811, -7.234324981988173],[-35.87011456489564, -7.234120095943113]]]}"
5f389ea0b443d0000407f8d2,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,AO LADO DE,Café Poético,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.87920725345612, -7.22393953721291],[-35.87918847799302, -7.223979450985699],[-35.878917574882514, -7.223801169439942],[-35.87903559207917, -7.223790525763342],[-35.87921798229218, -7.223920910784402],[-35.87920725345612, -7.22393953721291]],[[-35.87933868169785, -7.224011382001402],[-35.879306495189674, -7.224077904943514],[-35.87956666946412, -7.224224255381729],[-35.87958008050919, -7.224165715212135],[-35.87933868169785, -7.224011382001402]]]]}"
5f389eb7b443d0000407f8d3,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,AO LADO DE,Maria Pitanga,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.879620313644416, -7.223912928029097],[-35.8795988559723, -7.224176358879892],[-35.87964981794358, -7.224208289881676],[-35.879668593406684, -7.223899623436584],[-35.879620313644416, -7.223912928029097]],[[-35.87933331727982, -7.224000738329751],[-35.879295766353614, -7.224053956685484],[-35.87901949882508, -7.223899623436584],[-35.87909728288651, -7.223849065981535],[-35.87933331727982, -7.224000738329751]],[[-35.879668593406684, -7.224224255381729],[-35.87962836027146, -7.2242721518784885],[-35.8798161149025, -7.224405197676178],[-35.87983489036561, -7.224338674782231],[-35.879668593406684, -7.224224255381729]]]]}"
5f389ed6b443d0000407f8d4,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,AO LADO DE,Niscar,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.87005019187928, -7.233537367592276],[-35.86986780166627, -7.233449559145426],[-35.870026051998146, -7.233287246516896],[-35.870152115821845, -7.233399002759183],[-35.87005019187928, -7.233537367592276]],[[-35.86986511945725, -7.233742253901831],[-35.86972296237946, -7.233641141189266],[-35.86961299180985, -7.233766201646239],[-35.8697658777237, -7.233912548945513],[-35.86983025074006, -7.233822079711551],[-35.86986511945725, -7.233739593041273],[-35.86986511945725, -7.233742253901831]]]]}"
5f389ef0b443d0000407f8d5,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,AO LADO DE,Localiza Hertz,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.87011992931367, -7.234114774226412],[-35.87008237838746, -7.2341227568014315],[-35.87025940418244, -7.234282408272175],[-35.870315730571754, -7.23427442569998],[-35.87013870477677, -7.234098809075954],[-35.87011992931367, -7.234114774226412]],[[-35.8699455857277, -7.233654445494841],[-35.869899988174446, -7.2336038891315475],[-35.869816839694984, -7.233529385006901],[-35.870015323162086, -7.233276603063801],[-35.87014943361283, -7.233404324484318],[-35.8699455857277, -7.233654445494841]]]]}"
5f389f07b443d0000407f8d6,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,ENTRE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.878807604312904, -7.223628209664178],[-35.87875664234162, -7.223700054502146],[-35.877882242202766, -7.2230614333198515],[-35.87796539068223, -7.222997571152002],[-35.87881028652192, -7.22362554874403],[-35.878807604312904, -7.223628209664178]]]}"
5f389f37b443d0000407f8d7,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,ENTRE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.881170630455024, -7.225081069723685],[-35.88114649057389, -7.225150253419553],[-35.88077902793885, -7.225009225105227],[-35.88036864995957, -7.22478570844143],[-35.87996363639832, -7.2245196170308805],[-35.879746377468116, -7.22436794485678],[-35.879794657230384, -7.224312065621902],[-35.880119204521186, -7.224532921605123],[-35.88033914566041, -7.224689915551685],[-35.88048666715623, -7.22477772570139],[-35.88077902793885, -7.224932058650453],[-35.881170630455024, -7.225081069723685]]]}"
